time_years,S_total,S_1mm_1cm,S_1cm_10cm,S_10cm_1m,S_1m_plus,S_400_600km,S_600_800km,S_800_1000km,S_1000_1200km,S_1200_1500km,S_1500_plus_km,cumulative_collisions,collision_rate_per_year,cascade_gain_G,cascade_multiplier_Km,collisions_this_step,fragments_generated,launches,objects_decayed,scenario,pmd_compliance
6.9,112324426.74426854,111168877.67946802,1067529.6631412392,32802.21321180024,55217.18844745842,2671311.0580599196,16601103.606634099,40176072.76472218,30880151.48952941,15504529.239281343,6491258.586041584,2935.0,636.202558650069,4352.458043534035,1.040880223337676,71.0,7810.0,531.3314285714287,267566.6502621902,PMD_80,0.8
7.0,112067832.28234914,110912911.09520082,1066441.7896449412,32767.771232276373,55711.626271097644,2586432.3665004396,16492002.311087122,40129050.16716241,30868458.42502442,15501439.473767836,6490449.538806919,2996.0,641.0642131437198,3928.2122391806315,0.9596012405194992,61.0,6710.0,531.3714285714286,263911.54763367504,PMD_80,0.8
7.1000000000000005,111815138.63970071,110660809.7604778,1065390.2592172283,32733.541878444823,56205.07812723056,2504319.4787224354,16383514.806898227,40081992.09749305,30857101.332661405,15498570.329317173,6489640.594608402,3060.0,645.9045944961168,3546.4184793756112,0.8847013683898138,64.0,7057.577032347219,531.4114285714286,260356.34539506648,PMD_80,0.8
7.2,111566109.94200796,110412332.9124485,1064380.0537504083,32699.428977915162,56697.54683113734,2424881.9663234977,16275856.977654736,40034867.42781085,30846190.05347584,15495481.763309823,6488831.7534332145,3126.0,650.7402486286942,3202.77663143805,0.815709901682852,66.0,7260.0,531.4514285714286,256895.86340703355,PMD_80,0.8
7.300000000000001,111321108.7467516,110167810.80992027,1063443.4197580966,32665.47906204129,57189.038011222976,2348142.36227793,16168693.355553932,39987141.81893142,30836604.37659353,15492503.818126267,6488023.015268536,3198.0,655.5728139044833,2893.498968294245,0.7521880404678709,72.0,7920.0,531.4914285714285,253528.40097062459,PMD_80,0.8
7.4,111080258.54541323,109927521.04743189,1062425.3317191836,32632.592025839214,57679.57423632024,2273792.661280121,16062130.577265773,39940465.97656285,30827238.47780799,15489416.472394941,6487214.380101555,3257.0,660.4102431702776,2619.0589049618084,0.6947824688289966,59.0,8796.801763222775,531.5314285714285,250252.24881589544,PMD_80,0.8
7.5,110840076.00345983,109687942.5565168,1061365.3577409328,32598.964879289466,58169.124322803924,2201864.542738215,15956274.612588078,39893738.65674428,30815462.5962255,15486329.747244306,6486405.84791945,3314.0,665.2478743793251,2368.1530144656276,0.64093750012,57.0,6270.0,531.5714285714287,247059.827667694,PMD_80,0.8
7.6000000000000005,110606518.13282363,109454830.23839606,1060463.7671532144,32566.398569981033,58657.72870439166,2132278.8505655313,15853865.579678107,39846739.91624165,30804682.725078166,15483353.642550759,6485597.418709411,3382.0,670.0455676312138,2145.730068553216,0.5922781708127162,68.0,9786.801763222773,531.6114285714286,243949.9981136967,PMD_80,0.8
7.7,110375095.98928581,109223747.74673449,1059669.7973043544,32533.089108502107,59145.35613846689,2065069.0206613916,15750051.274168734,39799910.07159513,30794788.39345912,15480488.136942815,6484789.092458626,3463.0,674.8534804316382,1942.1570616978943,0.546645310155271,81.0,8910.0,531.6514285714286,240939.5092521078,PMD_80,0.8
7.800000000000001,110145751.13067599,108994818.28240621,1058800.8331059923,32499.985101329814,59632.030062445665,1999937.593362562,15646375.779117083,39753358.91927804,30784584.76071087,15477513.209053153,6483980.869154284,3536.0,679.6605920451854,1758.965433654608,0.5047361198004285,73.0,8047.577032347219,531.6914285714286,237997.84135646,PMD_80,0.8
7.9,113954040.98838542,112724802.7910497,1135121.6418800298,33970.89674461257,60145.65871108893,5971264.451544977,15543937.967840701,39707196.126093544,30773930.814108133,15474538.880014488,6483172.748783576,3614.0,684.4553422272712,6766.158625445392,1.2623871336067196,78.0,4042809.993421871,531.7314285714285,235125.58142672008,PMD_80,0.8
8.0,113601561.62934959,112373679.97678435,1133322.371233505,33928.96621029365,60630.31512143017,5779873.542028042,15442069.827471824,39660431.229332976,30765257.149475586,15471565.149707478,6482364.731333696,3683.0,698.872630850852,6103.885953862046,1.1857181641991605,69.0,9896.801763222775,531.7714285714285,362981.64651334414,PMD_80,0.8
8.1,113254983.32353267,112028368.63011678,1131614.2755289902,33886.40351373552,61114.0143731724,5594723.2648139885,15341097.534366133,39613960.51567109,30755053.173876837,15468592.018012792,6481556.816791837,3763.0,703.4336048868793,5504.519329766275,1.0972298513913978,80.0,8817.577032347217,531.8114285714287,356001.40856355167,PMD_80,0.8
